ID ECAO	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type	URCH specific	hasNoOnto					
ECAO:0100364	juvenile digestive system	digestive system	juvenile		early juvenile stage	late juvenile stage																		
ECAO:0100365	adult digestive system	digestive system	adult	juvenile digestive system	adult stage	adult stage	Anatomical system that processes ingested substances in the adult												x					
ECAO:0100366	immune system	anatomical system	whole organism		late gastrula stage	adult stage			UBERON:0002405															
ECAO:0100367	embryonic immune system	immune system	embryo		late gastrula stage	prism stage													x					
ECAO:0100368	larval immune system	immune system	larva		early pluteus larva stage	metamorphic larva stage									XAO:0003153				xao					
ECAO:0100369	juvenile immune system	immune system	juvenile		early juvenile stage	late juvenile stage																		
ECAO:0100370	adult immune system	immune system	adult		adult stage	adult stage									XAO:0003154				xao					
ECAO:0100371	reproductive system	anatomical system	whole organism		early juvenile stage	adult stage	"Anatomical system that has as its parts the organs concerned with reproduction, i.e. the male and female gonads."		UBERON:0000990															
ECAO:0100372	nervous system	anatomical system	whole organism		mesenchyme blastula phase	adult stage			UBERON:0001016															
ECAO:0100373	embryonic nervous system	nervous system	embryo		mesenchyme blastula phase	prism stage	The sum of all the structures in the embryo that will develop into the larval nervous system												x					
ECAO:0100374	larval nervous system	nervous system	larva	embryonic nervous system	early pluteus larva stage	competent pluteus larva stage	The sum of all the neural structures present in the larva												x					
ECAO:0100375	juvenile nervous system	nervous system	juvenile		early juvenile stage	late juvenile stage																		
ECAO:0100376	adult nervous system	nervous system	adult	juvenile nervous system	adult stage	adult stage			UBERON:6003559															
ECAO:0100377	muscular system	anatomical system	whole organism		early pluteus larva stage	adult stage			UBERON:0000383															
ECAO:0100378	larval muscular system	muscular system	larva		early pluteus larva stage	metamorphic larva stage													x					
ECAO:0100379	juvenile muscular system	muscular system	juvenile		early juvenile stage	late juvenile stage																		
ECAO:0100380	adult muscular system	muscular system	adult	juvenile muscular system	adult stage	adult stage			UBERON:6003218															
ECAO:0100381	endoskeleton	anatomical system	whole organism		mid-gastrula stage	adult stage	"Internal support structure of an animal composed of mineralized tissue. It gives shape, support and protection to the body."		UBERON:0001434															
ECAO:0100382	embryonic endoskeleton	endoskeleton	embryo		mid-gastrula stage	prism stage													x					
ECAO:0100383	larval endoskeleton	endoskeleton	larva		early pluteus larva stage	metamorphic larva stage													x					
ECAO:0100384	rudiment endoskeleton	endoskeleton	rudiment		8-arm pluteus larva stage	metamorphic larva stage		skeletal rudiment											x					
ECAO:0100385	juvenile endoskeleton	endoskeleton	juvenile		early juvenile stage	late juvenile stage																		
ECAO:0100386	adult endoskeleton	endoskeleton	adult		adult stage	adult stage													x					
ECAO:0100387	water vascular system	anatomical system	whole organism		6-arm pluteus larva stage	adult stage	"The water vascular system is a hydraulic system used by sea urchins for locomotion, food and waste transportation, and respiration. The system is composed of canals connecting numerous tube feet. "		UBERON:0008251															
ECAO:0100388	hemal system	anatomical system	whole organism		8-arm pluteus larva stage	adult stage	The hemal system contains the blood. It is composed of a complex network of vessels mainly located around the gut.	haemal system											x					
ECAO:0100389	animal hemisphere	anatomical structure	whole organism		mature oocyte stage	vegetal plate stage	"Anatomical region that corresponds to the upper half of the embryo, which later is composed of the mesomeres, and ultimately encompasses the presumptive ectoderm"	"animal half, upper half, upper hemisphere"	UBERON:0012284															
ECAO:0100390	vegetal hemisphere	anatomical structure	whole organism		mature oocyte stage	vegetal plate stage	"Anatomical region that corresponds to the lower half of the embryo, which later is composed of the macromeres and the micromeres, and ultimately encompasses the endoderm and mesoderm"	"vegetal half, lower half, lower hemisphere"	UBERON:0012285															
ECAO:0100391	cell cortex	cell part	cell		mature oocyte stage	adult stage											GO:0005938							
ECAO:0100392	cleavage furrow	intracellular part	cell		1-cell stage	adult stage											GO:0032154							
ECAO:0100393	animal cortex	cell cortex	animal hemisphere		fully grown oocyte with centered germinal vesicle stage	1-cell stage	Cell component comprising the outermost layer of the animal region of the oocyte. It consists of a phospholipid bilayer and associated proteins						"Croce, J., Range, R., Wu, S.-Y., Miranda, E., Lhomond, G., Peng, J. C., Lepage, T. and McClay, D. R. (2011). Wnt6 activates endoderm in the sea urchin gene regulatory network. Dev. Camb. Engl. 138, 3297–3306."						x					
ECAO:0100394	vegetal cortex	cell cortex	vegetal hemisphere		fully grown oocyte with centered germinal vesicle stage	1-cell stage	Cell component comprising the outermost layer of the vegetal region of the oocyte. It consists of a phospholipid bilayer and associated proteins												x					
ECAO:0100395	animal pole	anatomical region	whole organism		fully grown oocyte with centered germinal vesicle stage	prism stage	The apical region of the animal hemisphere												x					
ECAO:0100396	vegetal pole	anatomical region	whole organism		fully grown oocyte with centered germinal vesicle stage	prism stage	The apical most region of the vegetal hemisphere. Once cleavages have started the vegetal pole is characterized by the presence of the micromeres initially and then that of the small micromeres												x					
ECAO:0100397	animal pole domain 	anatomical region	embryo		very early blastula stage	prism stage		"apical pole domain, apical plate, animal plate, neurogenic ectoderm, anterior neuroectoderm"											x					
ECAO:0100398	blastopore	anatomical region	embryonic digestive system		blastopore formation stage	prism stage			UBERON:0000100															
ECAO:0100399	blastopore lip	embryonic structure	blastopore		blastopore formation stage	prism stage			UBERON:3010455															
ECAO:0100400	bottle cell	embryonic cell	vegetal plate		blastopore formation stage	blastopore formation stage					CL:0007020													
ECAO:0100401	embryonic cell	cell	embryo		2-cell stage	prism stage					CL:0002321													
ECAO:0100402	vegetal plate	anatomical region	embryo		vegetal plate stage	late mesenchyme blastula stage													x					
ECAO:0100403	cell	anatomical structure			previtellogenic primary oocyte stage	adult stage	Anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane				CL:0000000													
ECAO:0100404	cell part	anatomical structure	cell		previtellogenic primary oocyte stage	adult stage	Anatomical structure that is part of a cell and that has a granularity level equal to that of a protein complex or higher.										GO:0044464							
ECAO:0100405	digestive system element	anatomical structure	digestive system		blastopore formation stage	adult stage	Any of the organs or elements that are part of the digestive system		UBERON:0013765															
ECAO:0100406	skeletal element	anatomical structure	endoskeleton		mid-gastrula stage	adult stage			UBERON:0004765															
ECAO:0100407	embryonic structure	anatomical structure	embryo		1-cell stage	prism stage	Any anatomical structure that is part of an embryo		UBERON:0002050															
ECAO:0100408	larval structure	anatomical structure	larva		early pluteus larva stage	metamorphic larva stage	Any anatomical structure that is part of a larva												x					
ECAO:0100409	juvenile structure	anatomical structure	juvenile		early juvenile stage	late juvenile stage	Any anatomical structure that is part of a juvenile																	
ECAO:0100410	adult structure	anatomical structure	adult		early juvenile stage	adult stage	Any anatomical structure that is part of an adult												x					
ECAO:0100411	tissue	anatomical structure	multicellular organism		60-cell stage	adult stage			UBERON:0000479															
ECAO:0100412	rudiment	anatomical structure	larva		6-arm pluteus larva stage	metamorphic larva stage		"adult rudiment, imaginal adult rudiment"											x					
ECAO:0100413	rudiment structure	anatomical structure	rudiment		6-arm pluteus larva stage	metamorphic larva stage													x					
ECAO:0100414	non-rudiment adult structure	anatomical structure	larva		6-arm pluteus larva stage	metamorphic larva stage													x					
ECAO:0100415	microtubule	intracellular part	cytoskeleton		previtellogenic primary oocyte stage	adult stage											GO:0005874							
ECAO:0100416	nucleus	intracellular part	cell		mature oocyte stage	adult stage	"A membrane-bounded organelle of in which chromosomes are housed and replicated. In most cells, it contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some specialized cell types, RNA metabolism or DNA replication may be absent"										GO:0005634							
ECAO:0100417	germinal vesicle	nucleus	oocyte		not fully grown oocyte stage	fully grown oocyte with off-centered germinal vesicle stage	"The enlarged, fluid filled nucleus of a primary oocyte, the development of which is suspended in prophase I of the first meiotic division between embryohood and sexual maturity"										GO:0042585							
ECAO:0100418	equatorial pigment band	intracellular part	cell		fully grown oocyte with centered germinal vesicle stage	prism stage	"The subequatorial accumulation of pigment granules (the so-called ‘pigment band’) in eggs or early stage embryos, which constitutes an unambiguous marker of animal-vegetal polarity"	"pigment band, pigmented band"					"Sardet, C. and Chang, P. (1985). A marker of animal-vegetal polarity in the egg of the sea urchin paracentrotus lividus. Exp. Cell Res. 160, 73–82."					x	x					
ECAO:0100419	cytoplasm	intracellular part	cell		not fully grown oocyte stage	adult stage	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures"										GO:0005737							
ECAO:0100420	centrosome	intracellular part	cell		fully grown oocyte with off-centered germinal vesicle stage	adult stage											GO:0005813							
ECAO:0100421	mitotic spindle	intracellular part	cell		1-cell stage	adult stage											GO:0072686							
ECAO:0100422	meiotic spindle	intracellular part	oocyte		fully grown oocyte with off-centered germinal vesicle stage	fully grown oocyte with off-centered germinal vesicle stage											GO:0072687							
ECAO:0100423	fertilization envelope	embryonic structure	embryo		1-cell stage	late blastula stage	A structure that lies outside the plasma membrane and surrounds the egg. The fertilization envelope forms from the vitelline membrane after fertilization as a result of cortical granule release	fertilization membrane									GO:0060387							
ECAO:0100424	cytoskeleton	intracellular part	cell		previtellogenic primary oocyte stage	adult stage											GO:0005856							
ECAO:0100425	sperm aster	aster	spermatozoid		mature spermatozoid stage	mature spermatozoid stage		spermatozoid aster											x					
ECAO:0100426	aster	intracellular part	cytoskeleton		fully grown oocyte with off-centered germinal vesicle stage	adult stage		"spindle aster, mitotic aster"									GO:0005818							
ECAO:0100427	acellular membrane	anatomical structure			mature oocyte stage	mature oocyte stage			UBERON:0005764															
ECAO:0100428	vitelline membrane	acellular membrane	oocyte		mature oocyte stage	mature oocyte stage		"vitelline layer, vitelline envelope"	UBERON:0003125				Correa and Carroll 1997											
ECAO:0100429	intracellular part	cell part	cell		previtellogenic primary oocyte stage	adult stage											GO:0044424							
ECAO:0100430	hyaline layer	acellular membrane	embryo		1-cell stage	prism stage		hyaline membrane									GO:0033166							
ECAO:0100431	microvillus	cell part	whole organism		1-cell stage	1-cell stage											GO:0005902							
ECAO:0100432	apical lamina	acellular membrane	hyaline layer		1-cell stage	prism stage		fibropellin layer									GO:0032579							
ECAO:0100433	secretory vesicle	intracellular part	whole organism		1-cell stage	1-cell stage											GO:0099503							
ECAO:0100434	cilium	cell part	whole organism		vegetal plate stage	adult stage											GO:0072372							
ECAO:0100435	filopodium	cell part	embryo		early mesenchyme blastula stage	late gastrula stage											GO:0030175							
ECAO:0100436	basal lamina	acellular membrane	whole organism		mature oocyte stage	4-arm pluteus larva stage			UBERON:0000482				"Wessel, G. M., Marchase, R. B., & McClay, D. R. (1984)."											
ECAO:0100437	basal laminar vesicle	secretory vesicle	whole organism		mature oocyte stage	4-arm pluteus larva stage		"basal lamina vesicle, basal vesicle"					"Wessel, G. M., Marchase, R. B., & McClay, D. R. (1984)."						x					
ECAO:0100438	apical vesicle	secretory vesicle	whole organism		mature oocyte stage	1-cell stage													x					
ECAO:0100439	cortical granule	secretory vesicle	whole organism		mature oocyte stage	1-cell stage		cortical vesicle									GO:0060473							
ECAO:0100440	echinonectin vesicle	secretory vesicle	whole organism		mature oocyte stage	1-cell stage		"nectosome, echinonectin granule"											x					
ECAO:0100441	mitochondrion	intracellular part	whole organism		previtellogenic primary oocyte stage	adult stage							"Agnello, M., Roccheri, M. C., Morici, G., & Rinaldi, A. M. (2017)."				GO:0005739							
ECAO:0100442	actin cytoskeleton	cytoskeleton	cell		previtellogenic primary oocyte stage	adult stage											GO:0015629							
ECAO:0100443	actin filament	intracellular part	actin cytoskeleton		previtellogenic primary oocyte stage	adult stage		"microfilament, F-actin filament"									GO:0005884							
ECAO:0100444	nuclear part	intracellular part	nucleus		mature oocyte stage	adult stage											GO:0044428							
ECAO:0100445	nucleoplasm	nuclear part	nucleus		mature oocyte stage	adult stage											GO:0005654							
ECAO:0100446	nuclear envelope	nuclear part	nucleus		mature oocyte stage	adult stage											GO:0005635							
ECAO:0100447	endoplasmic reticulum	intracellular part	cell		previtellogenic primary oocyte stage	adult stage											GO:0005783							
ECAO:0100448	spermatozoid entry point	cell part	whole organism		mature oocyte stage	1-cell stage													x					
ECAO:0100449	plasma membrane	cell part	whole organism		previtellogenic primary oocyte stage	adult stage		cell membrane									GO:0005886							
ECAO:0100450	polar body	cell	oocyte		fully grown oocyte with off-centered germinal vesicle stage	fully grown oocyte with no nucleus stage	A small cell formed by the meiotic division of an oocyte				CL:0002090													
ECAO:0100451	spermatozoid part	cell part	spermatozoid		spermatogenesis period	spermatogenesis period		sperm part									GO:0097223							
ECAO:0100452	spermatozoid head	spermatozoid part	spermatozoid		spermatogenesis period	spermatogenesis period	The part of the late spermatid or spermatozoon that contains the nucleus and acrosome.										GO:0061827							
ECAO:0100453	spermatozoid flagellum	spermatozoid part	spermatozoid		spermatogenesis period	spermatogenesis period	"A microtubule-based flagellum (or cilium) that is part of a sperm, a mature male germ cell that develops from a spermatid"	sperm tail									GO:0036126							
ECAO:0100454	acrosomal vesicle	secretory vesicle	spermatozoid head		spermatogenesis period	spermatogenesis period	An organelle that develops over the anterior half of the head in the spermatozoa	acrosome									GO:0001669							
ECAO:0100455	presumptive primordial germ cell	cell	embryo	small micromere descendant cell	32-cell stage	metamorphic larva stage													x					
ECAO:0100456	primordial germ cell	cell	reproductive system		early juvenile stage	adult stage					CL:0000670													
ECAO:0100457	germ cell	cell	reproductive system	primordial germ cell	adult stage	adult stage																		
ECAO:0100458	gamete	germ cell	reproductive system		gametogenesis	gametogenesis																		
ECAO:0100459	oocyte	gamete	reproductive system		oogenesis period	oogenesis period	A female haploid germ cell.				CL:0000023													
ECAO:0100460	immature occyte	oocyte	primordial germ cell		previtellogenic primary oocyte stage	fully grown oocyte with no nucleus stage		immature egg											x					
ECAO:0100461	mature oocyte	oocyte	germ cell	immature occyte	mature oocyte stage	mature oocyte stage	A mature female gamet that has entered meiosis.	"egg, unfertilized egg, female gamete, female germ cell"			CL:0000023													
ECAO:0100462	spermatozoid	gamete	reproductive system		spermatogenesis period	spermatogenesis period	A mature male germ cell 	"sperm, spermatozoa, spermatozoan, male gamete, mature sperm cell"			CL:0000019													
ECAO:0100463	blastomere	embryonic cell	embryo		2-cell stage	60-cell stage	 An undifferentiated cell produced by early cleavages of the fertilized egg (zygote)	blastoderm cell			CL:0000353													
ECAO:0100464	blastomere of 2-cell embryo	blastomere	embryo		2-cell stage	2-cell stage													x					
ECAO:0100465	blastomere of 4-cell embryo	blastomere	embryo		4-cell stage	4-cell stage													x					
ECAO:0100466	mesomere	blastomere	animal hemisphere		16-cell stage	16-cell stage	Intermediate size blastomere forming the animal hemisphere of the cleaving embryo	mesomeres											x					
ECAO:0100467	macromere	blastomere	vegetal hemisphere		16-cell stage	16-cell stage	Larger blastomere of the vegetal hemisphere of the cleaving embryo located below the equator	macromeres											x					
ECAO:0100468	macromere daughter cell tier	cell tier	vegetal hemisphere		28-cell stage	32-cell stage													x					
ECAO:0100469	micromere	blastomere	vegetal hemisphere		16-cell stage	28-cell stage	Small blastomere of the vegetal hemisphere of the cleaving embryo located at to the vegetal pole	micromeres										x	x					
ECAO:0100470	large micromere	blastomere	vegetal hemisphere	micromere	32-cell stage	60-cell stage												x	x					
ECAO:0100471	large micromere descendant cell	blastomere	embryo	large micromere	very early blastula stage	early mesenchyme blastula stage		"large micromere progeny, presumptive PMC, presumptive skeletogenic mesenchyme cell, presumptive primary mesenchyme cell"										x	x					
ECAO:0100472	small micromere	blastomere	vegetal hemisphere	micromere	32-cell stage	60-cell stage		SM										x	x					
ECAO:0100473	small micromere descendant cell	blastomere	embryo	small micromere	very early blastula stage	competent pluteus larva stage		presumptive primordial germ cell										x	x					
ECAO:0100474	presumptive neuron	cell	nervous system		late blastula stage	adult stage	A progenitor cell of the nervous system that will develop into a neuron	neuronal progenitor cell											x					
ECAO:0100475	animal pole domain presumptive neuron	presumptive neuron	embryonic nervous system		mesenchyme blastula phase	prism stage		"apical pole domain presumptive neuron, animal pole domain neuronal progenitor cell"											x					
ECAO:0100476	ectoderm presumptive neuron	presumptive neuron	embryonic nervous system		mesenchyme blastula phase	prism stage		ectoderm neuronal progenitor cell											x					
ECAO:0100477	ciliary band presumptive neuron	presumptive neuron	nervous system		mesenchyme blastula phase	competent pluteus larva stage		ciliary band neuronal progenitor cell											x					
ECAO:0100478	endoderm associated presumptive neuron	presumptive neuron	nervous system		prism stage	competent pluteus larva stage		endoderm associated neuronal progenitor cell					"wei at al., 2011"						x					
ECAO:0100479	neuron	cell	nervous system	presumptive neuron	prism stage	adult stage		nerve cell			CL:0000540													
ECAO:0100480	larval neuron	neuron	larval nervous system	presumptive neuron	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100481	serotonergic neuron	neuron	nervous system	animal pole domain presumptive neuron	prism stage	competent pluteus larva stage					CL:0000850													
ECAO:0100482	synaptotagmin-B neuron	neuron	nervous system																					
ECAO:0100483	dopaminergic neuron	neuron	nervous system	ectoderm presumptive neuron	prism stage	metamorphic larva stage					CL:0000700													
ECAO:0100484	GABAergic neuron	neuron	nervous system		prism stage	metamorphic larva stage					CL:0000617													
ECAO:0100485	sensory neuron	neuron	nervous system		prism stage	adult stage		sensory cell			CL:0000101													
ECAO:0100486	biopolar neuron	neuron	nervous system		prism stage	adult stage					CL:0000103													
ECAO:0100487	multipolar neuron	neuron	nervous system		prism stage	adult stage					CL:0000104													
ECAO:0100488	axon tract	neural structure	nervous system		prism stage	adult stage		"axonal tract, axon bundle"	UBERON:0001018															
ECAO:0100489	neural structure	anatomical structure	nervous system		prism stage	adult stage		neuronal structure											x					
ECAO:0100490	ciliary band neuron	larval neuron	larval nervous system	ciliary band presumptive neuron	prism stage	competent pluteus larva stage		peripheral neuron											x					
ECAO:0100491	presumptive ciliary band cell	cell	embryo	ectoderm	late blastula stage	late gastrula stage													x					
ECAO:0100492	endoderm associated neuron	larval neuron	larval nervous system	endoderm associated presumptive neuron	4-arm pluteus larva stage	adult stage													x					
ECAO:0100493	ganglion	neural structure	nervous system		prism stage	adult stage			UBERON:0000045 															
ECAO:0100494	apical ganglion	ganglion	larval nervous system	animal pole domain 	prism stage	competent pluteus larva stage		apical organ											x					
ECAO:0100495	adult neuron	neuron	adult nervous system	presumptive neuron	8-arm pluteus larva stage	adult stage													x					
ECAO:0100496	circumoral nerve ring	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage													x					
ECAO:0100497	enteric nerve plexus	neural structure	adult nervous system		late juvenile stage	adult stage		"enteric plexus, digestive nerve plexus"	UBERON:0000429															
ECAO:0100498	radial nerve cord	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage													x					
ECAO:0100499	primary podia associated neuron	adult neuron	adult neuron		8-arm pluteus larva stage	late juvenile stage													x					
ECAO:0100500	secondary podia associated neuron	adult neuron	adult neuron		early juvenile stage	adult stage																		
ECAO:0100501	definitive spine associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage													x					
ECAO:0100502	pedicellaria associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage													x					
ECAO:0100503	basiepidermal nerve plexus	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage																		
ECAO:0100504	cell tier	embryonic structure	embryo		8-cell stage	late blastula stage		blastomere tier											x					
ECAO:0100505	animal quartet	cell tier	animal hemisphere		8-cell stage	8-cell stage	Group of four cells of equal size forming the animal hemisphere of an eight-cell stage embryo												x					
ECAO:0100506	vegetal quartet	cell tier	vegetal hemisphere		8-cell stage	8-cell stage	Group of four cells of equal size forming the vegetal hemisphere of an eight-cell stage embryo												x					
ECAO:0100507	animal tier 1	cell tier	animal hemisphere	mesomere	28-cell stage	60-cell stage		an1											x					
ECAO:0100508	animal tier 2 	cell tier	animal hemisphere	mesomere	28-cell stage	60-cell stage		an2											x					
ECAO:0100509	vegetal tier 1 	cell tier	vegetal hemisphere	macromere	56-cell stage	early blastula stage		"veg1, ectoendoderm"											x					
ECAO:0100510	vegetal tier 2 	cell tier	vegetal hemisphere	macromere	56-cell stage	early blastula stage		"veg2, endomesoderm"											x					
ECAO:0100511	vegetal tier 1 upper	cell tier	vegetal hemisphere	vegetal tier 1 	mid-blastula stage	late blastula stage		"veg1U, veg1 upper, presumptive vegetal ectoderm"					Lhomond et al 2012 (Frizzled1/2/7)						x					
ECAO:0100512	vegetal tier 1 lower	cell tier	vegetal hemisphere	vegetal tier 1 	mid-blastula stage	late blastula stage		"veg1L, veg1 lower"					Lhomond et al 2012 (Frizzled1/2/7)						x					
ECAO:0100513	vegetal tier 2 upper	cell tier	vegetal hemisphere	vegetal tier 2 	mid-blastula stage	late blastula stage		"veg2U, veg2 upper"					Lhomond et al 2012 (Frizzled1/2/7)						x					
ECAO:0100514	vegetal tier 2 lower	cell tier	vegetal hemisphere	vegetal tier 2 	mid-blastula stage	late blastula stage		"veg2L, veg2 lower, presumptive non-skeletogenic mesoderm"					Lhomond et al 2012 (Frizzled1/2/7)						x					
ECAO:0100515	germ layer	embryonic structure	embryo		early mesenchyme blastula stage	prism stage		"primary germ layer, embryonic germ layer"	UBERON:0000923															
ECAO:0100516	presumptive ectoderm	embryonic tissue	animal hemisphere	mesomere	16-cell stage	vegetal plate stage			UBERON:0006601															
ECAO:0100517	ectoderm	germ layer	whole organism		60-cell stage	metamorphic larva stage	Primary germ layer that is the outer of the embryo's three germ layers and gives rise to epidermis and neural tissue.		UBERON:0000924															
ECAO:0100518	animal ectoderm	anatomical region	ectoderm	animal hemisphere	60-cell stage	vegetal plate stage													x					
ECAO:0100519	vegetal ectoderm	anatomical region	ectoderm	vegetal hemisphere	early blastula stage	vegetal plate stage													x					
ECAO:0100520	ventral ectoderm	anatomical region	ectoderm		60-cell stage	competent pluteus larva stage		oral ectoderm											x					
ECAO:0100521	dorsal ectoderm	anatomical region	ectoderm		60-cell stage	competent pluteus larva stage		aboral ectoderm											x					
ECAO:0100522	ectoendoderm	germ layer	whole organism	vegetal tier 1 	60-cell stage	very late blastula stage		"vegetal tier 1, veg1"											x					
ECAO:0100523	endomesoderm	germ layer	whole organism	vegetal tier 2 	60-cell stage	very late blastula stage		"vegetal tier 2, veg2, mesoendoderm"							XAO:0003044				xao					
ECAO:0100524	inner animal pole domain	anatomical region	animal pole domain 	animal tier 1	mesenchyme blastula phase	prism stage		inner apical pole domain											x					
ECAO:0100525	outer animal pole domain	anatomical region	animal pole domain 	animal tier 1	mesenchyme blastula phase	prism stage		outer apical pole domain											x					
ECAO:0100526	central ectoderm	anatomical region	ectoderm		late blastula stage	late gastrula stage							"Li, E., Cui, M., Peter, I. S. and Davidson, E. H. (2014). Encoding regulatory state boundaries in the pregastrular oral ectoderm of the sea urchin embryo. Proc. Natl. Acad. Sci. U.S.A. 111, E906-913."						x					
ECAO:0100527	border ectoderm	anatomical region	ectoderm	ectoendoderm	mesenchyme blastula phase	mesenchyme blastula phase		BE					Ref McIntyre						x					
ECAO:0100528	near-apical ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination phase																		
ECAO:0100529	apical ectoderm	anatomical region	ectoderm		blastula period	prism stage																		
ECAO:0100530	veg1-lateral ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination phase																		
ECAO:0100531	veg-1 oral ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination phase																		
ECAO:0100532	lateral ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination phase																		
ECAO:0100533	right lateral ectoderm	lateral ectoderm	ectoderm		mesenchyme blastula phase	invagination phase													x					
ECAO:0100534	left lateral ectoderm	lateral ectoderm	ectoderm		mesenchyme blastula phase	invagination phase													x					
ECAO:0100535	arm tip ectoderm	anatomical region	ectoderm		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100536	dorsal arm tip ectoderm	anatomical region	arm tip ectoderm	border ectoderm	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100537	ventral arm tip ectoderm	anatomical region	arm tip ectoderm	border ectoderm	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100538	apical tuft	embryonic structure	animal pole domain 	animal tier 1	very late blastula stage	prism stage													x					
ECAO:0100539	embryonic tissue	tissue	embryo		16-cell stage	prism stage			UBERON:0005291															
ECAO:0100540	larval tissue	tissue	larva		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100541	rudiment tissue	tissue	rudiment		6-arm pluteus larva stage	metamorphic larva stage																		
ECAO:0100542	juvenile tissue	tissue	juvenile		early juvenile stage	late juvenile stage																		
ECAO:0100543	adult tissue	tissue	adult		early juvenile stage	adult stage													x					
ECAO:0100544	presumptive stomodeum	embryonic structure	ventral ectoderm		mesenchyme blastula phase	prism stage																		
ECAO:0100545	stomodeum	embryonic structure	ventral ectoderm	presumptive stomodeum	prism stage	prism stage		presumptive mouth	UBERON:0000930															
ECAO:0100546	ciliary band	anatomical structure	ectoderm		mesenchyme blastula phase	competent pluteus larva stage													x					
ECAO:0100547	oral hood ciliary band	larval structure	ciliary band		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100548	arm ciliary band	larval structure	ciliary band		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100549	animal pole ciliary band	embryonic structure	ciliary band		mesenchyme blastula phase	prism stage																		
ECAO:0100550	vegetal ciliary band	embryonic structure	ciliary band		mesenchyme blastula phase	prism stage													x					
ECAO:0100551	lateral ciliary band	embryonic structure	ciliary band		mesenchyme blastula phase	prism stage													x					
